code,company_name,market,feature,business_composition,industries,themes,business1,business2,business3,business_sales1,business_sales2,business_sales3,business_profit1,business_profit2,business_profit3,overseas
6337,テセック,東証スタンダード,半導体用ハンドラ(選別装置)国内上位。個別半導体用テスター(測定装置)は世界トップクラス,ハンドラ28、テスタ51、パーツ他21【海外】66 <25.3>,"半導体装置,関東",パワー半導体,,,,,,,,,,66
6338,タカトリ,東証スタンダード,精密切断加工機が主柱、SiC向けのシェアは世界有数。液晶・半導体業界向け製造機器も,電子機器98(18)、繊維機器1(7)、医療機器1(-125)【海外】74 <24.9>,"半導体装置,パワ半導体,近畿",パワー半導体,電子機器,繊維機器,,98,1,,18,7,,74
6339,新東工業,東証プライム,鋳造機械製造で首位。自動車向け強い。表面処理は造船、建機も。集塵・粉体処理の環境分野育成,表面処理52(0)、鋳造28(4)、環境8(13)、搬送6(10)、特機6(-4)、他0(3)【海外】56 <25.3>,"工作機械,中部",ロボット,表面処理,鋳造,環境,52,28,8,0,4,13,56
6340,澁谷工業,東証プライム,飲料用充填装置で国内最大手。メカトロシステム製販も手がける。アジア、北米、欧州向けに強み,パッケージングプラント57(16)、メカトロシステム32(9)、農業用設備11(11)【海外】38 <24.6>,"工作機械,中部",インド,パッケージングプラント,メカトロシステム,農業用設備,57,32,11,16,9,11,38
6342,太平製作所,東証スタンダード,合板・木工機械のトップメーカー。技術力に定評。建材の製造も。東南ア、北米向け輸出に実績,合板機械64(15)、木工機械22(15)、住宅建材14(-1)【海外】19 <25.3>,"工作機械,中部",建設・建築資材,合板機械,木工機械,,64,22,,15,15,,19
6343,フリージア・マクロス,東証スタンダード,押出機等を製造。買収した子会社で防水・防蟻工事、プリント基板製造等。上場会社への投資も,製造供給28(6)、住宅関連71(23)、投資・流通サービス1(27) <25.3>,"建設,リフォーム,関東",プリント基板,住宅関連,製造供給,投資・流通サービス,71,28,1,23,6,27,
6345,アイチコーポレーション,東証プライム,高所作業車メーカー国内トップ。電力会社向け多い。鉄道用の軌陸両用車育成。中国で現地生産,特装車78(18)、部品・修理21(34)、他1(18)【海外】7 <25.3>,"建設機械,関東",リチウムイオン電池,特装車,部品・修理,,78,21,,18,34,,7
6346,キクカワエンタープライズ,東証スタンダード,製材・木工機械の最大手。発泡模型加工用マシニングセンタ等車載関連工作機械も強い。無借金,木工機械76、工作機械24【海外】11 <25.3>,近畿,工作機械,,,,,,,,,,11
6347,プラコー,東証スタンダード,中空成形機等プラスチック加工機の専業メーカー。自動車用小型樹脂タンク成形機で新展開,インフレーション成形機61、ブロー成形機14、リサイクル装置4、メンテナンス17、システム開発4【海外】7 <25.3>,"産業機械,関東",リサイクル,,,,,,,,,,7
6349,小森コーポレーション,東証プライム,印刷機専業で首位。オフセット印刷機、輪転機、紙幣印刷機に強み。欧米中心に輸出比率高い,印刷機械製造・販売77、修理加工・中古製品販売23【海外】69 <25.3>,"印刷,関東",インド,,,,,,,,,,69
6351,鶴見製作所,東証プライム,水中ポンプ専業トップで市場シェア約3割。工場など設備常設型にも注力。日中台に生産工場,ポンプ100、不動産・リース0 <25.3>,,ポンプ,,,,,,,,,,
6356,日本ギア工業,東証スタンダード,歯車装置はバルブコントロールが得意。工事も展開。電力向けが多い。非上場の成和が親会社,歯車及び歯車装置75(18)、工事25(35) <25.3>,,バルブ,歯車及び歯車装置,工事,,75,25,,18,35,,
6357,三精テクノロジーズ,東証スタンダード,舞台設備、遊戯機械大手。テーマパーク、劇場が得意先。財務良好。遊戯機械の蘭ベコマをM&A,遊戯機械58(1)、舞台設備30(22)、昇降機12(25)、他0(36) <25.3>,"エレベータ,レジャー,近畿",大阪・関西万博,遊戯機械,舞台設備,昇降機,58,30,12,1,22,25,
6358,酒井重工業,東証プライム,ロードローラーなど道路機械の専業大手。大型機に強み。米国、インドネシア、中国で現地生産,建設機械100【海外】57 <25.3>,"建設機械,関東,ドローン",国土強靱化,,,,,,,,,,57
6360,東京自働機械製作所,東証スタンダード,たばこ自動包装機から出発し食品包装、古紙圧縮機等へ総合化。銘産・贈答品包装で高シェア,包装機械45(0)、生産機械55(32)【海外】78 <25.3>,"産業機械,関東",包装機械,生産機械,包装機械,,55,45,,32,0,,78
6361,荏原,東証プライム,ポンプの総合メーカー。固形廃棄物処理プラントや半導体研磨装置等でも世界首位級の技術力,建築・産業27(4)、エネルギー24(13)、インフラ6(7)、環境10(10)、精密・電子32(18)、他0(-129)【海外】66 <24.12>,"産業機械,水処理,関東",EUV,精密・電子,建築・産業,エネルギー,32,27,24,18,4,13,66
6363,酉島製作所,東証プライム,ポンプ国内大手3社の一角。発電用高効率ポンプは国内1位。中東の海水淡水化設備向け強い,ポンプ99、他1【海外】62 <25.3>,"プラント,近畿",インド,,,,,,,,,,62
6364,AIRMAN,東証プライム,建設現場用等の可搬式エンジンコンプレッサー大手。高所作業車、エンジン発電機も手がける,建設機械81(15)、産業機械19(18)【海外】44 <25.3>,"建設機械,中部",エンジン,建設機械,産業機械,,81,19,,15,18,,44
6365,電業社機械製作所,東証スタンダード,ポンプ大手5社の一角で官公需に強み。送風機と2本柱。海外は中東深耕、インドに生産拠点,ポンプ72、送風機21、バルブ1、他6【海外】14 <25.3>,,インド,,,,,,,,,,14
6366,千代田化工建設,東証スタンダード,三菱商事系の総合エンジで国内2位。LNGに強み。水素、ライフサイエンス分野などにも注力,LNGプラント55、他ガス1、石油・石油化学・ガス化学7、医薬・生化学・一般化学8、環境・新エネルギー・インフラ他29【海外】78 <25.3>,"プラント,関東",脱炭素,,,,,,,,,,78
6367,ダイキン工業,東証プライム,エアコン世界首位級。国内は業務用断トツ。M&Aも駆使し各国で存在感。フッ素化学事業も,空調・冷凍機92(8)、化学6(16)、他2(4) <25.3>,"エアコン,脱炭素,白物家電",インド,空調・冷凍機,化学,,92,6,,8,16,,
6368,オルガノ,東証プライム,東ソー系。電力、半導体向け純水製造装置に強み。台湾半導体市場で存在感。水処理薬品も,水処理エンジニアリング85(20)、機能商品15(15)【海外】39 <25.3>,"水処理,関東",TSMC,水処理エンジニアリング,機能商品,,85,15,,20,15,,39
6369,トーヨーカネツ,東証プライム,空港・配送センターなど物流システムが主力、EC向けが拡大。石油、LNGタンク工事も,物流ソリューション63(10)、プラント17(10)、次世代エネルギー開発4(-20)、みらい創生他16(9)【海外】3 <25.3>,関東,プラント,物流ソリューション,プラント,みらい創生他,63,17,16,10,10,9,3
6370,栗田工業,東証プライム,総合水処理の最大手。装置に加え水処理薬品に強み。超純水供給事業が安定収益源。海外強化中,電子市場44(5)、一般水処理市場56(10)【海外】52 <25.3>,"水処理,関東",半導体関連,一般水処理市場,電子市場,,56,44,,10,5,,52
6371,椿本チエイン,東証プライム,産業用スチールチェーン、自動車エンジン用チェーンで世界首位。搬送・保管システムも展開,チェーン34(16)、モーションコントロール8(3)、モビリティ33(9)、マテハン24(2)、他1(-23)【海外】65 <25.3>,"自動車部品,近畿",世界首位,チェーン,モビリティ,マテハン,34,33,24,16,9,2,65
